
# contacts.csv — ventanas de contacto de ejemplo
# id,from,to,t_start,t_end,owlt_s,rate_bps,setup_s,residual_bytes

# Rama A: 100 -> 1 -> 2 -> 200 (camino rápido si hay capacidad)
0, 100, 1,   0,   60, 0.020, 5000000, 0.2, 300000000
1,   1,  2,  40,  100, 0.015, 8000000, 0.1, 500000000
2,   2, 200, 80,  140, 0.030,10000000, 0.1, 700000000

# Rama B: 100 -> 3 -> 2 -> 200 (alternativa similar)
3, 100, 3,  10,   50, 0.025, 4000000, 0.2, 250000000
4,   3,  2,  48,   95, 0.018, 6000000, 0.1, 400000000
5,   2, 200, 90,  150, 0.030, 9000000, 0.1, 600000000

# Rama C: 100 -> 4 -> 2 -> 200 (algo más tardía)
6, 100, 4,   0,   35, 0.030, 7000000, 0.2, 200000000
7,   4,  2,  36,   80, 0.020, 5000000, 0.1, 200000000
8,   2, 200, 70,  120, 0.025, 4000000, 0.1, 150000000

